AIN127, AIN126, AIN125, AIN124, AIN123, AIN122, AIN121, AIN120, AIN0, AIN1, AIN2, AIN3, AIN60, AIN48, AIN49
-7.742, -8.255, -8.938, -9.789, -10.583, -10.584, -10.584, -10.584, -0.374, -0.054, -0.068, -0.049, -0.001, -0.468, -0.47, 
-7.733, -8.251, -8.935, -9.789, -10.584, -10.584, -10.584, -10.584, -0.374, -0.054, -0.068, -0.049, -0.001, -0.466, -0.468, 
-7.713, -8.222, -8.899, -9.72, -10.584, -10.584, -10.584, -10.584, -0.373, -0.053, -0.068, -0.049, -0.001, -0.467, -0.468, 
-7.721, -8.233, -8.909, -9.743, -10.584, -10.583, -10.584, -10.584, -0.374, -0.054, -0.068, -0.049, -0.001, -0.465, -0.467, 
-7.69, -8.192, -8.86, -9.633, -10.53, -10.584, -10.584, -10.584, -0.375, -0.053, -0.069, -0.049, -0.001, -0.466, -0.468, 
-7.701, -8.203, -8.868, -9.648, -10.536, -10.584, -10.584, -10.584, -0.374, -0.053, -0.068, -0.049, -0.002, -0.466, -0.467, 
-7.698, -8.203, -8.87, -9.649, -10.537, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.465, -0.467, 
-7.693, -8.194, -8.857, -9.625, -10.515, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.466, -0.467, 
-7.692, -8.196, -8.858, -9.63, -10.52, -10.584, -10.584, -10.584, -0.375, -0.053, -0.069, -0.049, -0.001, -0.467, -0.468, 
-7.694, -8.201, -8.866, -9.656, -10.54, -10.584, -10.584, -10.584, -0.373, -0.054, -0.068, -0.048, -0.001, -0.467, -0.468, 
-7.692, -8.196, -8.859, -9.649, -10.538, -10.584, -10.584, -10.584, -0.373, -0.054, -0.068, -0.049, -0.001, -0.466, -0.467, 
-7.672, -8.175, -8.836, -9.606, -10.499, -10.584, -10.584, -10.584, -0.372, -0.054, -0.069, -0.049, -0.001, -0.464, -0.466, 
-7.67, -8.168, -8.826, -9.592, -10.481, -10.584, -10.584, -10.584, -0.374, -0.053, -0.069, -0.048, -0.001, -0.464, -0.465, 
-7.665, -8.164, -8.821, -9.583, -10.47, -10.584, -10.584, -10.584, -0.375, -0.054, -0.069, -0.049, -0.001, -0.465, -0.466, 
-7.643, -8.136, -8.783, -9.52, -10.367, -10.584, -10.584, -10.584, -0.373, -0.054, -0.069, -0.049, -0.001, -0.464, -0.465, 
-7.652, -8.144, -8.79, -9.527, -10.371, -10.584, -10.584, -10.584, -0.376, -0.054, -0.068, -0.049, -0.001, -0.465, -0.466, 
-7.657, -8.153, -8.8, -9.538, -10.39, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.466, -0.467, 
-7.648, -8.142, -8.785, -9.52, -10.355, -10.584, -10.584, -10.584, -0.376, -0.053, -0.068, -0.049, -0.001, -0.465, -0.466, 
-7.654, -8.149, -8.794, -9.53, -10.374, -10.584, -10.584, -10.584, -0.375, -0.053, -0.068, -0.049, -0.001, -0.464, -0.465, 
-7.652, -8.152, -8.802, -9.552, -10.423, -10.584, -10.584, -10.584, -0.374, -0.054, -0.069, -0.049, -0.001, -0.464, -0.465, 
-7.64, -8.134, -8.78, -9.517, -10.37, -10.584, -10.584, -10.584, -0.373, -0.053, -0.069, -0.049, -0.001, -0.463, -0.463, 
